playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
John Olerud,SEA,565,.285,.392,.439,.831
Edgar Martinez,SEA,556,.324,.423,.579,1.002
Alex Rodriguez,SEA,554,.316,.420,.606,1.026
Mike Cameron,SEA,543,.267,.365,.438,.803
Mark McLemore,SEA,481,.245,.353,.316,.669
Al Martin,SEA,480,.285,.338,.452,.790
David Bell,SEA,454,.247,.316,.381,.697
Rickey Henderson,SEA,420,.233,.368,.305,.673
Jay Buhner,SEA,364,.253,.361,.522,.883
Stan Javier,SEA,342,.275,.351,.401,.752
Chris Widger,SEA,292,.233,.306,.438,.744
