playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Tony Womack,AZ,590,.271,.325,.353,.678
Junior Spivey,AZ,538,.301,.389,.476,.865
Luis Gonzalez,AZ,524,.288,.400,.496,.896
Steve Finley,AZ,505,.287,.370,.499,.869
Craig Counsell,AZ,436,.282,.348,.351,.699
Quinton McCracken,AZ,349,.309,.367,.458,.825
Mark Grace,AZ,298,.252,.351,.386,.737
Damian Miller,AZ,297,.249,.340,.434,.774
David Dellucci,AZ,229,.245,.326,.402,.728
Erubiel Durazo,AZ,222,.261,.395,.550,.945
Matt Williams,AZ,215,.260,.324,.479,.803
