playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Vladimir Guerrero,MON,614,.336,.417,.593,1.010
Jose Vidro,MON,604,.315,.378,.490,.868
Orlando Cabrera,MON,563,.263,.321,.380,.701
Brad Wilkerson,MON,507,.266,.370,.469,.839
Fernando Tatis,MON,381,.228,.303,.399,.702
Michael Barrett,MON,376,.263,.332,.418,.750
Jose Macias,MON,338,.249,.293,.379,.672
Andres Galarraga,MON,292,.260,.344,.394,.738
Troy O'Leary,MON,273,.286,.371,.377,.748
Brian Schneider,MON,207,.275,.339,.459,.798
Wil Cordero,MON,161,.267,.337,.435,.772
