playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Garret Anderson,ANA,638,.315,.345,.541,.886
Tim Salmon,ANA,528,.275,.374,.464,.838
Scott Spiezio,ANA,521,.265,.326,.453,.779
David Eckstein,ANA,452,.252,.325,.325,.650
Adam Kennedy,ANA,449,.269,.344,.399,.743
Bengie Molina,ANA,409,.281,.304,.443,.747
Jeff DaVanon,ANA,330,.282,.360,.445,.805
Troy Glaus,ANA,319,.248,.343,.464,.807
Shawn Wooten,ANA,272,.243,.303,.349,.652
Darin Erstad,ANA,258,.252,.309,.333,.642
Eric Owens,ANA,241,.270,.300,.307,.607
