playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Miguel Tejada,OAK,636,.278,.336,.472,.808
Eric Chavez,OAK,588,.282,.350,.514,.864
Mark Ellis,OAK,553,.248,.313,.371,.684
Scott Hatteberg,OAK,541,.253,.342,.383,.725
Erubiel Durazo,OAK,537,.259,.374,.430,.804
Terrence Long,OAK,486,.245,.293,.385,.678
Jose Guillen,OAK,485,.311,.359,.569,.928
Ramon Hernandez,OAK,483,.273,.331,.458,.789
Eric Byrnes,OAK,414,.263,.333,.459,.792
Chris Singleton,OAK,306,.245,.301,.340,.641
Jermaine Dye,OAK,221,.172,.261,.253,.514
