playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Juan Pierre,FLA,678,.326,.374,.407,.781
Miguel Cabrera,FLA,603,.294,.366,.512,.878
Mike Lowell,FLA,598,.293,.365,.505,.870
Luis Castillo,FLA,564,.291,.373,.348,.721
Alex Gonzalez,FLA,561,.232,.270,.419,.689
Paul Lo Duca,FLA,535,.286,.338,.421,.759
Jeff Conine,FLA,521,.280,.340,.432,.772
Juan Encarnacion,FLA,484,.236,.299,.405,.704
Mike Redmond,FLA,246,.256,.315,.341,.656
Damion Easley,FLA,223,.238,.331,.457,.788
Ramon Castro,FLA,96,.135,.231,.260,.491
