playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Eric Hinske,TOR,570,.246,.312,.375,.687
Reed Johnson,TOR,537,.270,.320,.380,.700
Vernon Wells,TOR,536,.272,.337,.472,.809
Orlando Hudson,TOR,489,.270,.341,.438,.779
Carlos Delgado,TOR,458,.269,.372,.535,.907
Alex Rios,TOR,426,.286,.338,.383,.721
Chris Gomez,TOR,341,.282,.337,.346,.683
Gregg Zaun,TOR,338,.269,.367,.393,.760
Frank Menechino,TOR,269,.275,.371,.454,.825
Frank Catalanotto,TOR,249,.293,.344,.390,.734
Chris Woodward,TOR,213,.235,.283,.347,.630
