playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Adam Dunn,CIN,561,.234,.365,.490,.855
Brandon Phillips,CIN,536,.276,.324,.427,.751
Scott Hatteberg,CIN,456,.289,.389,.436,.825
Ryan Freel,CIN,454,.271,.363,.399,.762
Royce Clayton,CIN,454,.258,.307,.341,.648
Rich Aurilia,CIN,440,.300,.349,.518,.867
Ken Griffey Jr.,CIN,428,.252,.316,.486,.802
Edwin Encarnación,CIN,406,.276,.359,.473,.832
Juan Castro,CIN,251,.251,.281,.351,.632
David Ross,CIN,247,.255,.353,.579,.932
Todd Hollandsworth,CIN,224,.246,.275,.429,.704
