playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Nick Markakis,BAL,637,.300,.362,.485,.847
Brian Roberts,BAL,621,.290,.377,.432,.809
Aubrey Huff,BAL,550,.280,.337,.442,.779
Miguel Tejada,BAL,514,.296,.357,.442,.799
Kevin Millar,BAL,476,.254,.365,.420,.785
Melvin Mora,BAL,467,.274,.341,.418,.759
Corey Patterson,BAL,461,.269,.304,.386,.690
Jay Payton,BAL,434,.256,.292,.376,.668
Ramon Hernandez,BAL,364,.258,.333,.382,.715
Jay Gibbons,BAL,270,.230,.272,.348,.620
Paul Bako,BAL,156,.205,.277,.256,.533
