playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Miguel Cabrera,DET,616,.292,.349,.537,.886
Placido Polanco,DET,580,.307,.350,.417,.767
Magglio Ordonez,DET,561,.317,.376,.494,.870
Curtis Granderson,DET,553,.280,.365,.494,.859
Edgar Renteria,DET,503,.270,.317,.382,.699
Carlos Guillén,DET,420,.286,.376,.436,.812
Gary Sheffield,DET,418,.225,.326,.400,.726
Brandon Inge,DET,347,.205,.303,.369,.672
Marcus Thames,DET,316,.241,.292,.516,.808
Matt Joyce,DET,242,.252,.339,.492,.831
Ryan Raburn,DET,182,.236,.298,.368,.666
