playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Cristian Guzman,WSH,579,.316,.345,.440,.785
Lastings Milledge,WSH,523,.268,.330,.402,.732
Ryan Zimmerman,WSH,428,.283,.333,.442,.775
Willie Harris,WSH,367,.251,.344,.417,.761
Austin Kearns,WSH,313,.217,.311,.316,.627
Jesus Flores,WSH,301,.256,.296,.402,.698
Ronnie Belliard,WSH,296,.287,.372,.473,.845
Elijah Dukes,WSH,276,.264,.386,.478,.864
Aaron Boone,WSH,232,.241,.299,.384,.683
Wily Mo Peña,WSH,195,.205,.243,.267,.510
Wil Nieves,WSH,176,.261,.309,.341,.650
