playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Billy Butler,KC,608,.301,.362,.492,.854
Alberto Callaspo,KC,576,.300,.356,.457,.813
David DeJesus,KC,558,.281,.347,.434,.781
Mark Teahen,KC,524,.271,.325,.408,.733
Yuniesky Betancourt,KC,470,.245,.274,.351,.625
Willie Bloomquist,KC,434,.265,.308,.355,.663
Mike Jacobs,KC,434,.228,.297,.401,.698
Miguel Olivo,KC,390,.249,.292,.490,.782
Mitch Maier,KC,341,.243,.333,.331,.664
Josh Anderson,KC,283,.240,.276,.304,.580
Jose Guillen,KC,281,.242,.314,.367,.681
