playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Robinson Canó,NYY,637,.320,.352,.520,.872
Derek Jeter,NYY,634,.334,.406,.465,.871
Mark Teixeira,NYY,609,.292,.383,.565,.948
Johnny Damon,NYY,550,.282,.365,.489,.854
Nick Swisher,NYY,498,.249,.371,.498,.869
Melky Cabrera,NYY,485,.274,.336,.416,.752
Hideki Matsui,NYY,456,.274,.367,.509,.876
Alex Rodriguez,NYY,444,.286,.402,.532,.934
Jerry Hairston Jr.,NYY,383,.251,.315,.394,.709
Jorge Posada,NYY,383,.285,.363,.522,.885
Brett Gardner,NYY,248,.270,.345,.379,.724
