playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Adrián González,SD,552,.277,.407,.551,.958
Chase Headley,SD,543,.262,.342,.392,.734
Kevin Kouzmanoff,SD,529,.255,.302,.420,.722
David Eckstein,SD,503,.260,.323,.334,.657
Tony Gwynn Jr.,SD,393,.270,.350,.344,.694
Everth Cabrera,SD,377,.255,.342,.361,.703
Will Venable,SD,293,.256,.323,.440,.763
Nick Hundley,SD,256,.238,.313,.406,.719
Brian Giles,SD,225,.191,.277,.271,.548
Luis Antonio Rodriguez,SD,208,.202,.319,.260,.579
Henry Blanco,SD,204,.235,.320,.382,.702
