playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Torii Hunter,LAA,580,.262,.336,.429,.765
Erick Aybar,LAA,556,.279,.322,.421,.743
Mark Trumbo,LAA,539,.254,.291,.477,.768
Howie Kendrick,LAA,537,.285,.338,.464,.802
Vernon Wells,LAA,505,.218,.248,.412,.660
Peter Bourjos,LAA,502,.271,.327,.438,.765
Bobby Abreu,LAA,502,.253,.353,.365,.718
Alberto Callaspo,LAA,475,.288,.366,.375,.741
Maicer Izturis,LAA,449,.276,.334,.388,.722
Jeff Mathis,LAA,247,.174,.225,.259,.484
Hank Conger,LAA,177,.209,.282,.356,.638
