playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Aubrey Huff,SF,521,.246,.306,.370,.676
Carlos Beltrán,SF,520,.300,.385,.525,.910
Orlando Cabrera,SF,450,.238,.267,.307,.574
Pablo Sandoval,SF,426,.315,.357,.552,.909
Cody Ross,SF,405,.240,.325,.405,.730
Jeff Keppinger,SF,379,.277,.300,.377,.677
Andres Torres,SF,348,.221,.312,.330,.642
Nate Schierholtz,SF,335,.278,.326,.430,.756
Aaron Rowand,SF,331,.233,.274,.347,.621
Miguel Tejada,SF,322,.239,.270,.326,.596
Freddy Sanchez,SF,239,.289,.332,.397,.729
