playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Matt Carpenter,STL,626,.318,.392,.481,.873
Carlos Beltrán,STL,554,.296,.339,.491,.830
Jon Jay,STL,548,.276,.351,.370,.721
Matt Holliday,STL,520,.300,.389,.490,.879
Allen Craig,STL,508,.315,.373,.457,.830
Yadier Molina,STL,505,.319,.359,.477,.836
David Freese,STL,462,.262,.340,.381,.721
Pete Kozma,STL,410,.217,.275,.273,.548
Daniel Descalso,STL,328,.238,.290,.366,.656
Matt Adams,STL,296,.284,.335,.503,.838
Shane Robinson,STL,144,.250,.345,.319,.664
