playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Freddie Freeman,ATL,607,.288,.386,.461,.847
Chris Johnson,ATL,582,.263,.292,.361,.653
Jason Heyward,ATL,573,.271,.351,.384,.735
Justin Upton,ATL,566,.270,.342,.491,.833
Andrelton Simmons,ATL,540,.244,.286,.331,.617
B.J. Upton,ATL,519,.208,.287,.333,.620
Emilio Bonifácio,ATL,394,.259,.305,.345,.650
Evan Gattis,ATL,369,.263,.317,.493,.810
Tommy La Stella,ATL,319,.251,.328,.317,.645
Ryan Doumit,ATL,157,.197,.235,.318,.553
Gerald Laird,ATL,152,.204,.275,.257,.532
