playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Brian Dozier,MIN,598,.242,.345,.416,.761
Trevor Plouffe,MIN,520,.258,.328,.423,.751
Joe Mauer,MIN,455,.277,.361,.371,.732
Kurt Suzuki,MIN,452,.288,.345,.383,.728
Eduardo Escobar,MIN,433,.275,.315,.406,.721
Danny Santana,MIN,405,.319,.353,.472,.825
Oswaldo Arcia,MIN,372,.231,.300,.452,.752
Chris Parmelee,MIN,250,.256,.307,.384,.691
Kennys Vargas,MIN,215,.274,.316,.456,.772
Jordan Schafer,MIN,210,.238,.310,.305,.615
Chris Colabello,MIN,205,.229,.282,.380,.662
