playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Andrew McCutchen,PIT,548,.314,.410,.542,.952
Josh Harrison,PIT,520,.315,.347,.490,.837
Neil Walker,PIT,512,.271,.342,.467,.809
Jordy Mercer,PIT,506,.255,.305,.387,.692
Starling Marte,PIT,495,.291,.356,.453,.809
Pedro Álvarez,PIT,398,.231,.312,.405,.717
Russell Martin,PIT,379,.290,.402,.430,.832
Ike Davis,PIT,360,.233,.344,.378,.722
Travis Snider,PIT,322,.264,.338,.438,.776
Gregory Polanco,PIT,277,.235,.307,.343,.650
Gaby Sanchez,PIT,262,.229,.293,.385,.678
