playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Elvis Andrus,TEX,619,.263,.314,.333,.647
Adrian Beltré,TEX,549,.324,.388,.492,.880
Leonys Martin,TEX,533,.274,.325,.364,.689
Alex Rios,TEX,492,.280,.311,.398,.709
Shin-Soo Choo,TEX,455,.242,.340,.374,.714
Rougned Odor,TEX,386,.259,.297,.402,.699
Robinson Chirinos,TEX,306,.239,.290,.415,.705
Michael Choice,TEX,253,.182,.250,.320,.570
J.P. Arencibia,TEX,203,.177,.239,.369,.608
Daniel Robertson,TEX,177,.271,.333,.333,.666
Mitch Moreland,TEX,167,.246,.297,.347,.644
