playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Jason Kipnis,CLE,610,.275,.343,.469,.812
Francisco Lindor,CLE,604,.301,.358,.435,.793
Carlos Santana,CLE,582,.259,.366,.498,.864
José Ramírez,CLE,565,.312,.363,.462,.825
Mike Napoli,CLE,557,.239,.335,.465,.800
Rajai Davis,CLE,454,.249,.306,.388,.694
Coco Crisp,CLE,446,.231,.302,.397,.699
Lonnie Chisenhall,CLE,385,.286,.328,.439,.767
Tyler Naquin,CLE,321,.296,.372,.514,.886
Brandon Guyer,CLE,293,.266,.372,.423,.795
Yan Gomes,CLE,251,.167,.201,.327,.528
