playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Nolan Arenado,COL,618,.294,.362,.570,.932
Carlos González,COL,584,.298,.350,.505,.855
Charlie Blackmon,COL,578,.324,.381,.552,.933
DJ LeMahieu,COL,552,.348,.416,.495,.911
Mark Reynolds,COL,393,.282,.356,.450,.806
Trevor Story,COL,372,.272,.341,.567,.908
Gerardo Parra,COL,368,.253,.271,.399,.670
Nick Hundley,COL,289,.260,.320,.439,.759
Daniel Descalso,COL,250,.264,.349,.424,.773
Cristhian Adames,COL,225,.218,.304,.302,.606
Ryan Raburn,COL,223,.220,.309,.404,.713
