playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Mookie Betts,BOS,628,.264,.344,.459,.803
Andrew Benintendi,BOS,573,.271,.352,.424,.776
Xander Bogaerts,BOS,571,.273,.343,.403,.746
Mitch Moreland,BOS,508,.246,.326,.443,.769
Hanley Ramirez,BOS,496,.242,.320,.429,.749
Jackie Bradley Jr.,BOS,482,.245,.323,.402,.725
Eduardo Núñez,BOS,467,.313,.341,.460,.801
Dustin Pedroia,BOS,406,.293,.369,.392,.761
Rajai Davis,BOS,336,.235,.293,.348,.641
Christian Vázquez,BOS,324,.290,.330,.404,.734
Sandy León,BOS,271,.225,.290,.354,.644
