playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
José Reyes,NYM,501,.246,.315,.413,.728
Asdrúbal Cabrera,NYM,479,.280,.351,.434,.785
Michael Conforto,NYM,373,.279,.384,.555,.939
Travis d'Arnaud,NYM,348,.244,.293,.443,.736
Norichika Aoki,NYM,336,.277,.335,.393,.728
Wilmer Flores,NYM,336,.271,.307,.488,.795
Yoenis Cespedes,NYM,291,.292,.352,.540,.892
Juan Lagares,NYM,252,.250,.296,.365,.661
T.J. Rivera,NYM,214,.290,.330,.430,.760
Brandon Nimmo,NYM,177,.260,.379,.418,.797
Dominic Smith,NYM,167,.198,.262,.395,.657
