playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Keston Hiura,MIL,217,.212,.297,.410,.707
Christian Yelich,MIL,200,.205,.356,.430,.786
Avisaíl García,MIL,181,.238,.333,.326,.659
Orlando Arcia,MIL,173,.260,.317,.416,.733
Ryan Braun,MIL,129,.233,.281,.488,.769
Jedd Gyorko,MIL,117,.248,.333,.504,.837
Daniel Vogelbach,MIL,115,.209,.331,.391,.722
Eric Sogard,MIL,115,.209,.281,.278,.559
Ben Gamel,MIL,114,.237,.315,.404,.719
Luis Urías,MIL,109,.239,.308,.294,.602
Omar Narváez,MIL,108,.176,.294,.269,.563
