playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Miguel Rojas,MIA,495,.265,.322,.392,.714
Jazz Chisholm Jr.,MIA,464,.248,.303,.425,.728
Jesús Aguilar,MIA,449,.261,.329,.459,.788
Jorge Alfaro,MIA,295,.244,.283,.342,.625
Lewis Brinson,MIA,274,.226,.263,.376,.639
Isan Díaz,MIA,238,.193,.293,.282,.575
Joe Panik,MIA,236,.208,.266,.284,.550
Brian Anderson,MIA,233,.249,.337,.378,.715
Jon Berti,MIA,233,.210,.311,.313,.624
Jesús Sánchez,MIA,227,.251,.319,.489,.808
Garrett Cooper,MIA,215,.284,.380,.465,.845
