playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Alex Bregman,HOU,548,.259,.366,.454,.820
Yuli Gurriel,HOU,545,.242,.288,.360,.648
Kyle Tucker,HOU,544,.257,.330,.478,.808
Jose Altuve,HOU,527,.300,.387,.533,.920
Jeremy Peña,HOU,521,.253,.289,.426,.715
Trey Mancini,HOU,519,.239,.319,.391,.710
Yordan Alvarez,HOU,470,.306,.406,.613,1.019
Christian Vázquez,HOU,398,.274,.315,.399,.714
Chas McCormick,HOU,359,.245,.332,.407,.739
Martín Maldonado,HOU,344,.186,.248,.352,.600
Aledmys Díaz,HOU,305,.243,.287,.403,.690
