playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Rhys Hoskins,PHI,589,.246,.332,.462,.794
Alec Bohm,PHI,586,.280,.315,.398,.713
Kyle Schwarber,PHI,577,.218,.323,.504,.827
Nick Castellanos,PHI,524,.263,.305,.389,.694
J.T. Realmuto,PHI,504,.276,.342,.478,.820
Bryson Stott,PHI,427,.234,.295,.358,.653
Brandon Marsh,PHI,424,.245,.295,.384,.679
Bryce Harper,PHI,370,.286,.364,.514,.878
Jean Segura,PHI,354,.277,.336,.387,.723
Matt Vierling,PHI,325,.246,.297,.351,.648
Didi Gregorius,PHI,214,.210,.263,.304,.567
