playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Randy Arozarena,TB,586,.263,.327,.445,.772
Yandy Díaz,TB,473,.296,.401,.423,.824
David Peralta,TB,439,.251,.316,.415,.731
Taylor Walls,TB,407,.172,.268,.285,.553
Harold Ramírez,TB,403,.300,.343,.404,.747
Ji Man Choi,TB,356,.233,.341,.388,.729
Manuel Margot,TB,336,.274,.325,.375,.700
Isaac Paredes,TB,331,.205,.304,.435,.739
Christian Bethancourt,TB,318,.252,.283,.409,.692
Wander Franco,TB,314,.277,.328,.417,.745
Jose Siri,TB,301,.213,.268,.339,.607
