playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Freddie Freeman,LAD,637,.331,.410,.567,.977
Mookie Betts,LAD,584,.307,.408,.579,.987
Amed Rosario,LAD,510,.263,.305,.378,.683
James Outman,LAD,483,.248,.353,.437,.790
Max Muncy,LAD,482,.212,.333,.475,.808
Enrique Hernández,LAD,465,.237,.289,.357,.646
Will Smith,LAD,464,.261,.359,.438,.797
J.D. Martinez,LAD,432,.271,.321,.572,.893
David Peralta,LAD,394,.259,.294,.381,.675
Miguel Rojas,LAD,385,.236,.290,.322,.612
Chris Taylor,LAD,338,.237,.326,.420,.746
