playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Brent Rooker,ATH,626,.262,.335,.479,.814
Lawrence Butler,ATH,569,.234,.306,.404,.710
Tyler Soderstrom,ATH,561,.276,.346,.474,.820
Jacob Wilson,ATH,486,.311,.355,.444,.799
Shea Langeliers,ATH,481,.277,.325,.536,.861
Nick Kurtz,ATH,420,.290,.383,.619,1.002
JJ Bleday,ATH,307,.212,.294,.404,.698
Luis Urías,ATH,287,.230,.315,.338,.653
Max Muncy,ATH,206,.214,.259,.379,.638
Max Schuemann,ATH,183,.197,.295,.273,.568
Gio Urshela,ATH,181,.238,.287,.326,.613
