playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Nico Hoerner,CHC,599,.297,.345,.394,.739
Pete Crow-Armstrong,CHC,591,.247,.287,.481,.768
Dansby Swanson,CHC,590,.244,.300,.417,.717
Seiya Suzuki,CHC,571,.245,.326,.478,.804
Ian Happ,CHC,569,.243,.342,.420,.762
Michael Busch,CHC,524,.261,.343,.523,.866
Kyle Tucker,CHC,500,.266,.377,.464,.841
Carlos Santana,CHC,415,.219,.308,.325,.633
Willi Castro,CHC,402,.226,.313,.366,.679
Matt Shaw,CHC,393,.226,.295,.394,.689
Carson Kelly,CHC,369,.249,.333,.428,.761
