playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Lenyn Sosa,CWS,518,.264,.293,.434,.727
Miguel Vargas,CWS,504,.234,.316,.401,.717
Chase Meidroth,CWS,450,.253,.329,.320,.649
Andrew Benintendi,CWS,420,.240,.307,.431,.738
Luis Robert Jr.,CWS,382,.223,.297,.364,.661
Edgar Quero,CWS,365,.268,.333,.356,.689
Mike Tauchman,CWS,335,.263,.356,.400,.756
Brooks Baldwin,CWS,300,.240,.290,.407,.697
Michael A. Taylor,CWS,295,.200,.259,.366,.625
Colson Montgomery,CWS,255,.239,.311,.529,.840
Kyle Teel,CWS,253,.273,.375,.411,.786
