year,teamName,wins,losses,win_rate
2000,NYY,87,74,0.5404
2000,BOS,85,77,0.5247
2000,TOR,83,79,0.5123
2000,BAL,74,88,0.4568
2000,UNK,69,92,0.4286
2000,CWS,95,67,0.5864
2000,CLE,90,72,0.5556
2000,DET,79,83,0.4877
2000,KC,77,85,0.4753
2000,MIN,69,93,0.4259
2000,OAK,91,70,0.5652
2000,SEA,91,71,0.5617
2000,LAA,82,80,0.5062
2000,TEX,71,91,0.4383
2000,ATL,95,67,0.5864
2000,NYM,94,68,0.5802
2000,MIA,79,82,0.4907
2000,UNK,67,95,0.4136
2000,PHI,65,97,0.4012
2000,STL,95,67,0.5864
2000,CIN,85,77,0.5247
2000,MIL,73,89,0.4506
2000,HOU,72,90,0.4444
2000,PIT,69,93,0.4259
2000,CHC,65,97,0.4012
2000,SF,97,65,0.5988
2000,LAD,86,76,0.5309
2000,UNK,85,77,0.5247
2000,COL,82,80,0.5062
2000,SD,76,86,0.4691
2001,NYY,95,65,0.5938
2001,BOS,82,79,0.5093
2001,TOR,80,82,0.4938
2001,BAL,63,98,0.3913
2001,UNK,62,100,0.3827
2001,CLE,91,71,0.5617
2001,MIN,85,77,0.5247
2001,CWS,83,79,0.5123
2001,DET,66,96,0.4074
2001,KC,65,97,0.4012
2001,SEA,116,46,0.716
2001,OAK,102,60,0.6296
2001,LAA,75,87,0.463
2001,TEX,73,89,0.4506
2001,ATL,88,74,0.5432
2001,PHI,86,76,0.5309
2001,NYM,82,80,0.5062
2001,MIA,76,86,0.4691
2001,UNK,68,94,0.4198
2001,HOU,93,69,0.5741
2001,STL,93,69,0.5741
2001,CHC,88,74,0.5432
2001,MIL,68,94,0.4198
2001,CIN,66,96,0.4074
2001,PIT,62,100,0.3827
2001,UNK,92,70,0.5679
2001,SF,90,72,0.5556
2001,LAD,86,76,0.5309
2001,SD,79,83,0.4877
2001,COL,73,89,0.4506
2002,NYY,103,58,0.6398
2002,BOS,93,69,0.5741
2002,TOR,78,84,0.4815
2002,BAL,67,95,0.4136
2002,UNK,55,106,0.3416
2002,MIN,94,67,0.5839
2002,CWS,81,81,0.5
2002,CLE,74,88,0.4568
2002,KC,62,100,0.3827
2002,DET,55,106,0.3416
2002,OAK,103,59,0.6358
2002,LAA,99,63,0.6111
2002,SEA,93,69,0.5741
2002,TEX,72,90,0.4444
2002,ATL,101,59,0.6312
2002,UNK,83,79,0.5123
2002,PHI,80,81,0.4969
2002,MIA,79,83,0.4877
2002,NYM,75,86,0.4658
2002,STL,97,65,0.5988
2002,HOU,84,78,0.5185
2002,CIN,78,84,0.4815
2002,PIT,72,89,0.4472
2002,CHC,67,95,0.4136
2002,MIL,56,106,0.3457
2002,UNK,98,64,0.6049
2002,SF,95,66,0.5901
2002,LAD,92,70,0.5679
2002,COL,73,89,0.4506
2002,SD,66,96,0.4074
2003,NYY,101,61,0.6235
2003,BOS,95,67,0.5864
2003,TOR,86,76,0.5309
2003,BAL,71,91,0.4383
2003,UNK,63,99,0.3889
2003,MIN,90,72,0.5556
2003,CWS,86,76,0.5309
2003,KC,83,79,0.5123
2003,CLE,68,94,0.4198
2003,DET,43,119,0.2654
2003,OAK,96,66,0.5926
2003,SEA,93,69,0.5741
2003,LAA,77,85,0.4753
2003,TEX,71,91,0.4383
2003,ATL,101,61,0.6235
2003,MIA,91,71,0.5617
2003,PHI,86,76,0.5309
2003,UNK,83,79,0.5123
2003,NYM,66,95,0.4099
2003,CHC,88,74,0.5432
2003,HOU,87,75,0.537
2003,STL,85,77,0.5247
2003,PIT,75,87,0.463
2003,CIN,69,93,0.4259
2003,MIL,68,94,0.4198
2003,SF,100,61,0.6211
2003,LAD,85,77,0.5247
2003,UNK,84,78,0.5185
2003,COL,74,88,0.4568
2003,SD,64,98,0.3951
2004,NYY,101,61,0.6235
2004,BOS,98,64,0.6049
2004,BAL,78,84,0.4815
2004,UNK,70,91,0.4348
2004,TOR,67,94,0.4161
2004,MIN,92,70,0.5679
2004,CWS,83,79,0.5123
2004,CLE,80,82,0.4938
2004,DET,72,90,0.4444
2004,KC,58,104,0.358
2004,LAA,92,70,0.5679
2004,OAK,91,71,0.5617
2004,TEX,89,73,0.5494
2004,SEA,63,99,0.3889
2004,ATL,96,66,0.5926
2004,PHI,86,76,0.5309
2004,MIA,83,79,0.5123
2004,NYM,71,91,0.4383
2004,UNK,67,95,0.4136
2004,STL,105,57,0.6481
2004,HOU,92,70,0.5679
2004,CHC,89,73,0.5494
2004,CIN,76,86,0.4691
2004,PIT,72,89,0.4472
2004,MIL,67,94,0.4161
2004,LAD,93,69,0.5741
2004,SF,91,71,0.5617
2004,SD,87,75,0.537
2004,COL,68,94,0.4198
2004,UNK,51,111,0.3148
2005,NYY,95,67,0.5864
2005,BOS,95,67,0.5864
2005,TOR,80,82,0.4938
2005,BAL,74,88,0.4568
2005,UNK,67,95,0.4136
2005,CWS,99,63,0.6111
2005,CLE,93,69,0.5741
2005,MIN,83,79,0.5123
2005,DET,71,91,0.4383
2005,KC,56,106,0.3457
2005,LAA,95,67,0.5864
2005,OAK,88,74,0.5432
2005,TEX,79,83,0.4877
2005,SEA,69,93,0.4259
2005,ATL,90,72,0.5556
2005,PHI,88,74,0.5432
2005,MIA,83,79,0.5123
2005,NYM,83,79,0.5123
2005,WSH,81,81,0.5
2005,STL,100,62,0.6173
2005,HOU,89,73,0.5494
2005,MIL,81,81,0.5
2005,CHC,79,83,0.4877
2005,CIN,73,89,0.4506
2005,PIT,67,95,0.4136
2005,SD,82,80,0.5062
2005,UNK,77,85,0.4753
2005,SF,75,87,0.463
2005,LAD,71,91,0.4383
2005,COL,67,95,0.4136
2006,NYY,97,65,0.5988
2006,TOR,87,75,0.537
2006,BOS,86,76,0.5309
2006,BAL,70,92,0.4321
2006,UNK,61,101,0.3765
2006,MIN,96,66,0.5926
2006,DET,95,67,0.5864
2006,CWS,90,72,0.5556
2006,CLE,78,84,0.4815
2006,KC,62,100,0.3827
2006,OAK,93,69,0.5741
2006,LAA,89,73,0.5494
2006,TEX,80,82,0.4938
2006,SEA,78,84,0.4815
2006,NYM,97,65,0.5988
2006,PHI,85,77,0.5247
2006,ATL,79,83,0.4877
2006,MIA,78,84,0.4815
2006,WSH,71,91,0.4383
2006,STL,83,78,0.5155
2006,HOU,82,80,0.5062
2006,CIN,80,82,0.4938
2006,MIL,75,87,0.463
2006,PIT,67,95,0.4136
2006,CHC,66,96,0.4074
2006,SD,88,74,0.5432
2006,LAD,88,74,0.5432
2006,SF,76,85,0.472
2006,UNK,76,86,0.4691
2006,COL,76,86,0.4691
2007,BOS,96,66,0.5926
2007,NYY,94,68,0.5802
2007,TOR,83,79,0.5123
2007,BAL,69,93,0.4259
2007,UNK,66,96,0.4074
2007,CLE,96,66,0.5926
2007,DET,88,74,0.5432
2007,MIN,79,83,0.4877
2007,CWS,72,90,0.4444
2007,KC,69,93,0.4259
2007,LAA,94,68,0.5802
2007,SEA,88,74,0.5432
2007,OAK,76,86,0.4691
2007,TEX,75,87,0.463
2007,PHI,89,73,0.5494
2007,NYM,88,74,0.5432
2007,ATL,84,78,0.5185
2007,WSH,73,89,0.4506
2007,MIA,71,91,0.4383
2007,CHC,85,77,0.5247
2007,MIL,83,79,0.5123
2007,STL,78,84,0.4815
2007,HOU,73,89,0.4506
2007,CIN,72,90,0.4444
2007,PIT,68,94,0.4198
2007,UNK,90,72,0.5556
2007,COL,90,73,0.5521
2007,SD,89,74,0.546
2007,LAD,82,80,0.5062
2007,SF,71,91,0.4383
2008,TB,97,65,0.5988
2008,BOS,95,67,0.5864
2008,NYY,89,73,0.5494
2008,TOR,86,76,0.5309
2008,BAL,68,93,0.4224
2008,CWS,89,74,0.546
2008,MIN,88,75,0.5399
2008,CLE,81,81,0.5
2008,KC,75,87,0.463
2008,DET,74,88,0.4568
2008,LAA,100,62,0.6173
2008,TEX,79,83,0.4877
2008,OAK,75,86,0.4658
2008,SEA,61,101,0.3765
2008,PHI,92,70,0.5679
2008,NYM,89,73,0.5494
2008,MIA,84,77,0.5217
2008,ATL,72,90,0.4444
2008,WSH,59,102,0.3665
2008,CHC,97,64,0.6025
2008,MIL,90,72,0.5556
2008,HOU,86,75,0.5342
2008,STL,86,76,0.5309
2008,CIN,74,88,0.4568
2008,PIT,67,95,0.4136
2008,LAD,84,78,0.5185
2008,AZ,82,80,0.5062
2008,COL,74,88,0.4568
2008,SF,72,90,0.4444
2008,SD,63,99,0.3889
2009,NYY,103,59,0.6358
2009,BOS,95,67,0.5864
2009,TB,84,78,0.5185
2009,TOR,75,87,0.463
2009,BAL,64,98,0.3951
2009,MIN,87,76,0.5337
2009,DET,86,77,0.5276
2009,CWS,79,83,0.4877
2009,CLE,65,97,0.4012
2009,KC,65,97,0.4012
2009,LAA,97,65,0.5988
2009,TEX,87,75,0.537
2009,SEA,85,77,0.5247
2009,OAK,75,87,0.463
2009,PHI,93,69,0.5741
2009,MIA,87,75,0.537
2009,ATL,86,76,0.5309
2009,NYM,70,92,0.4321
2009,WSH,59,103,0.3642
2009,STL,91,71,0.5617
2009,CHC,83,78,0.5155
2009,MIL,80,82,0.4938
2009,CIN,78,84,0.4815
2009,HOU,74,88,0.4568
2009,PIT,62,99,0.3851
2009,LAD,95,67,0.5864
2009,COL,92,70,0.5679
2009,SF,88,74,0.5432
2009,SD,75,87,0.463
2009,AZ,70,92,0.4321
2010,TB,96,66,0.5926
2010,NYY,95,67,0.5864
2010,BOS,89,73,0.5494
2010,TOR,85,77,0.5247
2010,BAL,66,96,0.4074
2010,MIN,94,68,0.5802
2010,CWS,88,74,0.5432
2010,DET,81,81,0.5
2010,CLE,69,93,0.4259
2010,KC,67,95,0.4136
2010,TEX,90,72,0.5556
2010,OAK,81,81,0.5
2010,LAA,80,82,0.4938
2010,SEA,61,101,0.3765
2010,PHI,97,65,0.5988
2010,ATL,91,71,0.5617
2010,MIA,80,82,0.4938
2010,NYM,79,83,0.4877
2010,WSH,69,93,0.4259
2010,CIN,91,71,0.5617
2010,STL,86,76,0.5309
2010,MIL,77,85,0.4753
2010,HOU,76,86,0.4691
2010,CHC,75,87,0.463
2010,PIT,57,105,0.3519
2010,SF,92,70,0.5679
2010,SD,90,72,0.5556
2010,COL,83,79,0.5123
2010,LAD,80,82,0.4938
2010,AZ,65,97,0.4012
2011,NYY,97,65,0.5988
2011,TB,91,71,0.5617
2011,BOS,90,72,0.5556
2011,TOR,81,81,0.5
2011,BAL,69,93,0.4259
2011,DET,95,67,0.5864
2011,CLE,80,82,0.4938
2011,CWS,79,83,0.4877
2011,KC,71,91,0.4383
2011,MIN,63,99,0.3889
2011,TEX,96,66,0.5926
2011,LAA,86,76,0.5309
2011,OAK,74,88,0.4568
2011,SEA,67,95,0.4136
2011,PHI,102,60,0.6296
2011,ATL,89,73,0.5494
2011,WSH,80,81,0.4969
2011,NYM,77,85,0.4753
2011,MIA,72,90,0.4444
2011,MIL,96,66,0.5926
2011,STL,90,72,0.5556
2011,CIN,79,83,0.4877
2011,PIT,72,90,0.4444
2011,CHC,71,91,0.4383
2011,HOU,56,106,0.3457
2011,AZ,94,68,0.5802
2011,SF,86,76,0.5309
2011,LAD,82,79,0.5093
2011,COL,73,89,0.4506
2011,SD,71,91,0.4383
2012,NYY,95,67,0.5864
2012,BAL,93,69,0.5741
2012,TB,90,72,0.5556
2012,TOR,73,89,0.4506
2012,BOS,69,93,0.4259
2012,DET,88,74,0.5432
2012,CWS,85,77,0.5247
2012,KC,72,90,0.4444
2012,CLE,68,94,0.4198
2012,MIN,66,96,0.4074
2012,OAK,94,68,0.5802
2012,TEX,93,69,0.5741
2012,LAA,89,73,0.5494
2012,SEA,75,87,0.463
2012,WSH,98,64,0.6049
2012,ATL,94,68,0.5802
2012,PHI,81,81,0.5
2012,NYM,74,88,0.4568
2012,MIA,69,93,0.4259
2012,CIN,97,65,0.5988
2012,STL,88,74,0.5432
2012,MIL,83,79,0.5123
2012,PIT,79,83,0.4877
2012,CHC,61,101,0.3765
2012,HOU,55,107,0.3395
2012,SF,94,68,0.5802
2012,LAD,86,76,0.5309
2012,AZ,81,81,0.5
2012,SD,76,86,0.4691
2012,COL,64,98,0.3951
2013,BOS,97,65,0.5988
2013,TB,92,71,0.5644
2013,BAL,85,77,0.5247
2013,NYY,85,77,0.5247
2013,TOR,74,88,0.4568
2013,DET,93,69,0.5741
2013,CLE,92,70,0.5679
2013,KC,86,76,0.5309
2013,MIN,66,96,0.4074
2013,CWS,63,99,0.3889
2013,OAK,96,66,0.5926
2013,TEX,91,72,0.5583
2013,LAA,78,84,0.4815
2013,SEA,71,91,0.4383
2013,HOU,51,111,0.3148
2013,ATL,96,66,0.5926
2013,WSH,86,76,0.5309
2013,NYM,74,88,0.4568
2013,PHI,73,89,0.4506
2013,MIA,62,100,0.3827
2013,STL,97,65,0.5988
2013,PIT,94,68,0.5802
2013,CIN,90,72,0.5556
2013,MIL,74,88,0.4568
2013,CHC,66,96,0.4074
2013,LAD,92,70,0.5679
2013,AZ,81,81,0.5
2013,SF,76,86,0.4691
2013,SD,76,86,0.4691
2013,COL,74,88,0.4568
2014,BAL,96,66,0.5926
2014,NYY,84,78,0.5185
2014,TOR,83,79,0.5123
2014,TB,77,85,0.4753
2014,BOS,71,91,0.4383
2014,DET,90,72,0.5556
2014,KC,89,73,0.5494
2014,CLE,85,77,0.5247
2014,CWS,73,89,0.4506
2014,MIN,70,92,0.4321
2014,LAA,98,64,0.6049
2014,OAK,88,74,0.5432
2014,SEA,87,75,0.537
2014,HOU,70,92,0.4321
2014,TEX,67,95,0.4136
2014,WSH,96,66,0.5926
2014,ATL,79,83,0.4877
2014,NYM,79,83,0.4877
2014,MIA,77,85,0.4753
2014,PHI,73,89,0.4506
2014,STL,90,72,0.5556
2014,PIT,88,74,0.5432
2014,MIL,82,80,0.5062
2014,CIN,76,86,0.4691
2014,CHC,73,89,0.4506
2014,LAD,94,68,0.5802
2014,SF,88,74,0.5432
2014,SD,77,85,0.4753
2014,COL,66,96,0.4074
2014,AZ,64,98,0.3951
2015,TOR,93,69,0.5741
2015,NYY,87,75,0.537
2015,BAL,81,81,0.5
2015,TB,80,82,0.4938
2015,BOS,78,84,0.4815
2015,KC,95,67,0.5864
2015,MIN,83,79,0.5123
2015,CLE,81,80,0.5031
2015,CWS,76,86,0.4691
2015,DET,74,87,0.4596
2015,TEX,88,74,0.5432
2015,HOU,86,76,0.5309
2015,LAA,85,77,0.5247
2015,SEA,76,86,0.4691
2015,OAK,68,94,0.4198
2015,NYM,90,72,0.5556
2015,WSH,83,79,0.5123
2015,MIA,71,91,0.4383
2015,ATL,67,95,0.4136
2015,PHI,63,99,0.3889
2015,STL,100,62,0.6173
2015,PIT,98,64,0.6049
2015,CHC,97,65,0.5988
2015,MIL,68,94,0.4198
2015,CIN,64,98,0.3951
