year,teamName,wins,losses,win_rate
2016,BOS,93,69,0.5741
2016,TOR,89,73,0.5494
2016,BAL,89,73,0.5494
2016,NYY,84,78,0.5185
2016,TB,68,94,0.4198
2016,CLE,94,67,0.5839
2016,DET,86,75,0.5342
2016,KC,81,81,0.5
2016,CWS,78,84,0.4815
2016,MIN,59,103,0.3642
2016,TEX,95,67,0.5864
2016,SEA,86,76,0.5309
2016,HOU,84,78,0.5185
2016,LAA,74,88,0.4568
2016,OAK,69,93,0.4259
2016,WSH,95,67,0.5864
2016,NYM,87,75,0.537
2016,MIA,79,82,0.4907
2016,PHI,71,91,0.4383
2016,ATL,68,93,0.4224
2016,CHC,103,58,0.6398
2016,STL,86,76,0.5309
2016,PIT,78,83,0.4845
2016,MIL,73,89,0.4506
2016,CIN,68,94,0.4198
2016,LAD,91,71,0.5617
2016,SF,87,75,0.537
2016,COL,75,87,0.463
2016,AZ,69,93,0.4259
2016,SD,68,94,0.4198
2017,BOS,93,69,0.5741
2017,NYY,91,71,0.5617
2017,TB,80,82,0.4938
2017,TOR,76,86,0.4691
2017,BAL,75,87,0.463
2017,CLE,102,60,0.6296
2017,MIN,85,77,0.5247
2017,KC,80,82,0.4938
2017,CWS,67,95,0.4136
2017,DET,64,98,0.3951
2017,HOU,101,61,0.6235
2017,LAA,80,82,0.4938
2017,SEA,78,84,0.4815
2017,TEX,78,84,0.4815
2017,OAK,75,87,0.463
2017,WSH,97,65,0.5988
2017,MIA,77,85,0.4753
2017,ATL,72,90,0.4444
2017,NYM,70,92,0.4321
2017,PHI,66,96,0.4074
2017,CHC,92,70,0.5679
2017,MIL,86,76,0.5309
2017,STL,83,79,0.5123
2017,PIT,75,87,0.463
2017,CIN,68,94,0.4198
2017,LAD,104,58,0.642
2017,AZ,93,69,0.5741
2017,COL,87,75,0.537
2017,SD,71,91,0.4383
2017,SF,64,98,0.3951
2018,BOS,108,54,0.6667
2018,NYY,100,62,0.6173
2018,TB,90,72,0.5556
2018,TOR,73,89,0.4506
2018,BAL,47,115,0.2901
2018,CLE,91,71,0.5617
2018,MIN,78,84,0.4815
2018,DET,64,98,0.3951
2018,CWS,62,100,0.3827
2018,KC,58,104,0.358
2018,HOU,103,59,0.6358
2018,OAK,97,65,0.5988
2018,SEA,89,73,0.5494
2018,LAA,80,82,0.4938
2018,TEX,67,95,0.4136
2018,ATL,90,72,0.5556
2018,WSH,82,80,0.5062
2018,PHI,80,82,0.4938
2018,NYM,77,85,0.4753
2018,MIA,63,98,0.3913
2018,MIL,96,67,0.589
2018,CHC,95,68,0.5828
2018,STL,88,74,0.5432
2018,PIT,82,79,0.5093
2018,CIN,67,95,0.4136
2018,LAD,92,71,0.5644
2018,COL,91,72,0.5583
2018,AZ,82,80,0.5062
2018,SF,73,89,0.4506
2018,SD,66,96,0.4074
2019,NYY,103,59,0.6358
2019,TB,96,66,0.5926
2019,BOS,84,78,0.5185
